date,cash,equity,margin,market_value,pnl,unrealized_pnl,fees
2023-01-02 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-03 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-04 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-05 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-08 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-09 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-10 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-11 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-12 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-15 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-16 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-17 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-18 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-19 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-29 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-30 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-01-31 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-01 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-02 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-05 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-06 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-07 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-08 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-09 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-12 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-13 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-14 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-15 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-16 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-19 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-20 16:00:00,1000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0
2023-02-21 16:00:00,1012.0,998008.0,0.0,998008.0,-1992.0,0.0,0.0
2023-02-22 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-02-23 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-02-26 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-02-27 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-02-28 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-01 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-02 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-05 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-06 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-07 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-08 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-09 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-12 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-13 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-14 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-15 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-16 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-19 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-20 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-21 16:00:00,1013446.0,1013446.0,0.0,1013446.0,13446.0,0.0,0.0
2023-03-22 16:00:00,17046.0,1009736.0,0.0,1009736.0,9736.0,0.0,0.0
2023-03-23 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-03-26 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-03-27 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-03-28 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-03-29 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-03-30 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-02 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-03 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-05 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-06 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-09 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-10 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-11 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-12 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-13 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-16 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-17 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-18 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-19 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-20 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-23 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-24 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-25 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-26 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-04-27 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-05-03 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-05-04 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-05-07 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-05-08 16:00:00,1017686.0,1017686.0,0.0,1017686.0,17686.0,0.0,0.0
2023-05-09 16:00:00,2958.0,1032558.0,0.0,1032558.0,32558.0,0.0,0.0
2023-05-10 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-11 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-14 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-15 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-16 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-17 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-18 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-21 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-22 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-23 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-24 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-25 16:00:00,1030270.0,1030270.0,0.0,1030270.0,30270.0,0.0,0.0
2023-05-28 16:00:00,17.6,1031996.68,0.0,1031996.68,31996.68,0.0,0.0
2023-05-29 16:00:00,1027967.76,1027967.76,0.0,1027967.76,27967.76,0.0,0.0
2023-05-30 16:00:00,1027967.76,1027967.76,0.0,1027967.76,27967.76,0.0,0.0
2023-05-31 16:00:00,1027967.76,1027967.76,0.0,1027967.76,27967.76,0.0,0.0
2023-06-01 16:00:00,1027967.76,1027967.76,0.0,1027967.76,27967.76,0.0,0.0
2023-06-04 16:00:00,1027967.76,1027967.76,0.0,1027967.76,27967.76,0.0,0.0
2023-06-05 16:00:00,21091.76,1010049.76,0.0,1010049.76,10049.76,0.0,0.0
2023-06-06 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-07 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-08 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-11 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-12 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-13 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-14 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-15 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-18 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-19 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-20 16:00:00,1003113.76,1003113.76,0.0,1003113.76,3113.76,0.0,0.0
2023-06-25 16:00:00,1.26,990150.46,0.0,990150.46,-9849.54,0.0,0.0
2023-06-26 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-06-27 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-06-28 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-06-29 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-02 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-03 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-04 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-05 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-06 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-09 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-10 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-11 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-12 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
2023-07-13 16:00:00,1001879.16,1001879.16,0.0,1001879.16,1879.16,0.0,0.0
